corrEvent,counters,medianAge,2.5%,25%,75%,97.5%
B,all,153.1119515885022,124.68557466287315,146.68557466287302,161.68557466287314,187.37114932574633
B,historically constrained,148.68557466287314,142.68557466287314,146.9738255033557,150.68557466287305,155.01408586985048
C,all,289.13584052234245,252.07236285039366,278.87453562088604,303.3704988996155,348.0433129063278
C,historically constrained,281.3704988996156,268.3704988996155,277.37049889961565,286.0590248377076,297.286947120771
D,all,370.97770939467097,329.3864693420994,358.38646934209976,387.3864693420995,437.10899941446183
D,historically constrained,363.04242167654473,340.37706885883085,357.85047490816385,368.40165752275624,380.89386374356934
E,all,495.4979571682614,438.49795716826156,480.0887074012362,513.6948870321562,565.8945269891107
E,historically constrained,487.4979571682609,450.9602829711711,477.9951870072055,494.4979571682611,508.4979571682601
F,all,792.112194978654,719.142651340885,771.3740626514871,812.9733537220548,872.3104772321002
F,historically constrained,778.0414119151947,748.9430905209897,768.1426513408853,787.37342219992,799.9704063669545
G,all,943.4790062373781,866.4790062373781,920.9795995990494,966.9648308943578,1027.4790062373759
G,historically constrained,928.9915734660921,895.946037318823,916.4790062373778,941.4790062373763,963.0224714099119
H,all,1075.3343590590864,993.3858767966933,1051.861518817493,1100.3299124320704,1160.861518817492
H,historically constrained,1060.7230376349855,1023.2519292212427,1046.8615188174933,1074.468888918291,1100.3338523858756
J,all,1321.5167353783534,1222.8407295726684,1293.5167353783509,1349.068909430596,1409.4694791630322
J,historically constrained,1306.5167353783509,1249.5167353783509,1288.986779322732,1323.0446257266199,1355.5167353783493
K,all,1922.7043281644076,1749.0164966754703,1878.0164966754646,1958.9836776013817,2033.944525499903
K,historically constrained,1906.704328164415,1759.662978668254,1871.704328164412,1930.9204049651933,2005.7043281644103
Tb,all,724.1049152565884,653.0981340163332,705.1049152565878,743.9954949106741,804.0751054790987
Tb,historically constrained,711.8791052899292,680.6070782985904,701.7672850051141,721.2532795156415,736.8652018188418
