identifier,depth,medianVarveAge,median14C_age,ageDifference,lake
34771,24.7,NA,119,NA,Skilak
34772,210.3,195.01135190918473,294,-98.98864809081527,Skilak
34773,269,277.0492230496,143,134.04922304960002,Skilak
34774,544.3,886.2768158941939,978,-91.72318410580613,Skilak
34775,630.9,1070.9505099782073,1223,-152.04949002179274,Skilak
34776,664.8,1142.8058593210428,1161,-18.194140678957183,Skilak
34777,679.4,1178.451212068246,1225,-46.54878793175408,Skilak
34778,708.3,1249.9723406697985,1283,-33.02765933020146,Skilak
34781,766.6,1309.8943031274462,1398,-88.10569687255384,Skilak
34780,1022.8,1861.1788372151184,1969,-107.82116278488161,Skilak
EK14-02A-1G-52.8,52.8,NA,284,NA,Eklutna
EK14-03C-1P-2-185.9,185.9,216.00456273764257,111,105.00456273764257,Eklutna
EK14-03C-2P-2-358.9,358.9,515.0590513068737,387,128.0590513068737,Eklutna
EK14-03B-2P-2-550.2,550.2,895.2452261306541,1074,-178.75477386934585,Eklutna
EK14-03C-3P-1-540,540,879.3830083565474,1072,-192.6169916434526,Eklutna
EK14-03C-3P-2-867.4,867.4,1576.2688172043045,1467,109.26881720430447,Eklutna
EK14-20B-2P-2-521.1,521.1,836.2090032154346,853,-16.790996784565436,Eklutna
